oxalate,"a salt or ester of oxalic acid"
oxalated
oxalates,"a salt or ester of oxalic acid"
oxalating
oxalic
oxalis,"any plant or flower of the genus Oxalis"
oxalises
oxazine
oxazines
oxblood
oxbloods
oxbow,"the land inside an oxbow bend in a river","a U-shaped curve in a stream","a wooden framework bent in the shape of a U; its upper ends are attached to the horizontal yoke and the loop goes around the neck of an ox"
oxbows,"the land inside an oxbow bend in a river","a U-shaped curve in a stream","a wooden framework bent in the shape of a U; its upper ends are attached to the horizontal yoke and the loop goes around the neck of an ox"
oxcart,"a cart that is drawn by an ox"
oxcarts,"a cart that is drawn by an ox"
oxen,"domesticated bovine animals as a group regardless of sex or age; "so many head of cattle"; "wait till the cows come home"; "seven thin and ill-favored kine"- Bible; "a team of oxen""
oxes
oxeye,"any North American shrubby perennial herb of the genus Heliopsis having large yellow daisylike flowers","Eurasian perennial herbs having daisylike flowers with yellow rays and dark centers","an oval or round dormer window"
oxeyes,"any North American shrubby perennial herb of the genus Heliopsis having large yellow daisylike flowers","Eurasian perennial herbs having daisylike flowers with yellow rays and dark centers","an oval or round dormer window"
oxford,"a city in southern England to the northwest of London; site of Oxford University","a university town in northern Mississippi; home of William Faulkner","a university in England","a low shoe laced over the instep"
oxfords,"a city in southern England to the northwest of London; site of Oxford University","a university town in northern Mississippi; home of William Faulkner","a university in England","a low shoe laced over the instep"
oxheart,"any of several cultivated sweet cherries having sweet juicy heart-shaped fruits","large heart-shaped sweet cherry with soft flesh"
oxhearts,"any of several cultivated sweet cherries having sweet juicy heart-shaped fruits","large heart-shaped sweet cherry with soft flesh"
oxid
oxidable
oxidant,"a substance that oxidizes another substance"
oxidants,"a substance that oxidizes another substance"
oxidase,"any of the enzymes that catalyze biological oxidation"
oxidases,"any of the enzymes that catalyze biological oxidation"
oxidasic
oxidate,"enter into a combination with oxygen or become converted into an oxide; "This metal oxidizes easily"","add oxygen to or combine with oxygen"
oxidated
oxidates,"enter into a combination with oxygen or become converted into an oxide; "This metal oxidizes easily"","add oxygen to or combine with oxygen"
oxidating
oxidation,"the process of oxidizing; the addition of oxygen to a compound with a loss of electrons; always occurs accompanied by reduction"
oxidations,"the process of oxidizing; the addition of oxygen to a compound with a loss of electrons; always occurs accompanied by reduction"
oxide,"any compound of oxygen with another element or a radical"
oxides,"any compound of oxygen with another element or a radical"
oxidic
oxidise,"add oxygen to or combine with oxygen","enter into a combination with oxygen or become converted into an oxide; "This metal oxidizes easily""
oxidised,"combined with or having undergone a chemical reaction with oxygen; "the oxidized form of iodine""
oxidiser,"a substance that oxidizes another substance"
oxidisers,"a substance that oxidizes another substance"
oxidises,"add oxygen to or combine with oxygen","enter into a combination with oxygen or become converted into an oxide; "This metal oxidizes easily""
oxidising
oxidizable,"capable of undergoing a chemical reaction with oxygen"
oxidize,"enter into a combination with oxygen or become converted into an oxide; "This metal oxidizes easily"","add oxygen to or combine with oxygen"
oxidized,"combined with or having undergone a chemical reaction with oxygen; "the oxidized form of iodine""
oxidizer,"a substance that oxidizes another substance"
oxidizers,"a substance that oxidizes another substance"
oxidizes,"enter into a combination with oxygen or become converted into an oxide; "This metal oxidizes easily"","add oxygen to or combine with oxygen"
oxidizing
oxids
oxim
oxime,"any compound containing the group -C=NOH"
oximes,"any compound containing the group -C=NOH"
oxims
oxlip,"Eurasian primrose with yellow flowers clustered in a one-sided umbel"
oxlips,"Eurasian primrose with yellow flowers clustered in a one-sided umbel"
oxpecker
oxpeckers
oxtail,"the skinned tail of cattle; used especially for soups"
oxtails,"the skinned tail of cattle; used especially for soups"
oxter
oxters
oxtongue,"widespread European weed with spiny tongue-shaped leaves and yellow flowers; naturalized in United States"
oxtongues,"widespread European weed with spiny tongue-shaped leaves and yellow flowers; naturalized in United States"
oxy
oxyacid,"any acid that contains oxygen"
oxyacids,"any acid that contains oxygen"
oxygen,"a nonmetallic bivalent element that is normally a colorless odorless tasteless nonflammable diatomic gas; constitutes 21 percent of the atmosphere by volume; the most abundant element in the earth's crust"
oxygenic
oxygens,"a nonmetallic bivalent element that is normally a colorless odorless tasteless nonflammable diatomic gas; constitutes 21 percent of the atmosphere by volume; the most abundant element in the earth's crust"
oxymora,"conjoining contradictory terms (as in `deafening silence')"
oxymoron,"conjoining contradictory terms (as in `deafening silence')"
oxyphil
oxyphile
oxyphiles
oxyphils
oxysalt
oxysalts
oxysome
oxysomes
oxytocic,"a drug that induces labor by stimulating contractions of the muscles of the uterus"
oxytocics,"a drug that induces labor by stimulating contractions of the muscles of the uterus"
oxytocin,"hormone secreted by the posterior pituitary gland (trade name Pitocin); stimulates contractions of the uterus and ejection of milk"
oxytocins,"hormone secreted by the posterior pituitary gland (trade name Pitocin); stimulates contractions of the uterus and ejection of milk"
oxytone,"word having stress or an acute accent on the last syllable"
oxytones,"word having stress or an acute accent on the last syllable"
