chabouk
chabouks
chabuk
chabuks
chacma,"greyish baboon of southern and eastern Africa"
chacmas,"greyish baboon of southern and eastern Africa"
chaconne
chaconnes
chad,"a small piece of paper that is supposed to be removed when a hole is punched in a card or paper tape","a lake in north central Africa; fed by the Shari river","a landlocked desert republic in north-central Africa; was under French control until 1960","a family of Afroasiatic tonal languages (mostly two tones) spoken in the regions west and south of Lake Chad in north central Africa"
chadarim
chadless
chads,"a small piece of paper that is supposed to be removed when a hole is punched in a card or paper tape","a lake in north central Africa; fed by the Shari river","a landlocked desert republic in north-central Africa; was under French control until 1960","a family of Afroasiatic tonal languages (mostly two tones) spoken in the regions west and south of Lake Chad in north central Africa"
chaeta,"a stiff chitinous seta or bristle especially of an annelid worm"
chaetae,"a stiff chitinous seta or bristle especially of an annelid worm"
chaetal,"of or relating to chaetae (setae or bristles)"
chafe,"soreness and warmth caused by friction; "he had a nasty chafe on his knee"","anger produced by some annoying irritation","become or make sore by or as if by rubbing","feel extreme irritation or anger; "He was chafing at her suggestion that he stay at home while she went on a vacation"","cause annoyance in; disturb, especially by minor irritations; "Mosquitoes buzzing in my ear really bothers me"; "It irritates me that she never closes the door after she leaves"","tear or wear off the skin or make sore by abrading; "This leash chafes the dog's neck"","cause friction; "my sweater scratches"","warm by rubbing, as with the hands"
chafed,"painful from having the skin abraded"
chafer
chafers
chafes,"soreness and warmth caused by friction; "he had a nasty chafe on his knee"","anger produced by some annoying irritation","become or make sore by or as if by rubbing","feel extreme irritation or anger; "He was chafing at her suggestion that he stay at home while she went on a vacation"","cause annoyance in; disturb, especially by minor irritations; "Mosquitoes buzzing in my ear really bothers me"; "It irritates me that she never closes the door after she leaves"","tear or wear off the skin or make sore by abrading; "This leash chafes the dog's neck"","cause friction; "my sweater scratches"","warm by rubbing, as with the hands"
chaff,"material consisting of seed coverings and small pieces of stem or leaves that have been separated from the seeds","foil in thin strips; ejected into the air as a radar countermeasure","be silly or tease one another; "After we relaxed, we just kidded around""
chaffed
chaffer,"wrangle (over a price, terms of an agreement, etc.); "Let's not haggle over a few dollars"","talk socially without exchanging too much information; "the men were sitting in the cafe and shooting the breeze""
chaffered
chaffering
chaffers,"wrangle (over a price, terms of an agreement, etc.); "Let's not haggle over a few dollars"","talk socially without exchanging too much information; "the men were sitting in the cafe and shooting the breeze""
chaffier
chaffiest
chaffing
chaffs,"material consisting of seed coverings and small pieces of stem or leaves that have been separated from the seeds","foil in thin strips; ejected into the air as a radar countermeasure","be silly or tease one another; "After we relaxed, we just kidded around""
chaffy,"abounding in or covered with or resembling or consisting of chaff","value; "an empty chaffy book by a foolish chaffy fellow""
chafing,"soreness or irritation of the skin caused by friction"
chagrin,"strong feelings of embarrassment","cause to feel shame; hurt the pride of; "He humiliated his colleague by criticising him in front of the boss""
chagrined,"feeling or caused to feel uneasy and self-conscious; "felt abashed at the extravagant praise"; "chagrined at the poor sales of his book"; "was embarrassed by her child's tantrums""
chagrining
chagrinned
chagrinning
chagrins,"strong feelings of embarrassment","cause to feel shame; hurt the pride of; "He humiliated his colleague by criticising him in front of the boss""
