laager,"a camp defended by a circular formation of wagons"
laagered
laagering
laagers,"a camp defended by a circular formation of wagons"
lab,"a workplace for the conduct of scientific research"
labara
labarum
labarums
labdanum,"a dark brown to greenish oleoresin that has a fragrant odor and is used as a fixative in perfumes; obtained as a juice from certain rockroses","a soft blackish-brown resinous exudate from various rockroses used in perfumes especially as a fixative"
labdanums,"a dark brown to greenish oleoresin that has a fragrant odor and is used as a fixative in perfumes; obtained as a juice from certain rockroses","a soft blackish-brown resinous exudate from various rockroses used in perfumes especially as a fixative"
label,"a brief description given for purposes of identification; "the label Modern is applied to many different kinds of architecture"","trade name of a company that produces musical recordings; "the artists and repertoire department of a recording label is responsible for finding new talent"","a radioactive isotope that is used in a compound in order to trace the mechanism of a chemical reaction","an identifying or descriptive marker that is attached to an object","assign a label to; designate with a label; "These students were labelled `learning disabled'"","attach a tag or label to; "label these bottles"","pronounce judgment on; "They labeled him unfit to work here"","distinguish (as a compound or molecule) by introducing a labeled atom","distinguish (an element or atom) by using a radioactive isotope or an isotope of unusual mass for tracing through chemical reactions"
labeled,"bearing or marked with a label or tag; "properly labeled luggage""
labeler
labelers
labeling
labella
labelled,"assign a label to; designate with a label; "These students were labelled `learning disabled'"","attach a tag or label to; "label these bottles"","pronounce judgment on; "They labeled him unfit to work here"","distinguish (as a compound or molecule) by introducing a labeled atom","distinguish (an element or atom) by using a radioactive isotope or an isotope of unusual mass for tracing through chemical reactions","bearing or marked with a label or tag; "properly labeled luggage""
labeller
labellers
labelling,"assign a label to; designate with a label; "These students were labelled `learning disabled'"","attach a tag or label to; "label these bottles"","pronounce judgment on; "They labeled him unfit to work here"","distinguish (as a compound or molecule) by introducing a labeled atom","distinguish (an element or atom) by using a radioactive isotope or an isotope of unusual mass for tracing through chemical reactions"
labellum
labels,"a brief description given for purposes of identification; "the label Modern is applied to many different kinds of architecture"","trade name of a company that produces musical recordings; "the artists and repertoire department of a recording label is responsible for finding new talent"","a radioactive isotope that is used in a compound in order to trace the mechanism of a chemical reaction","an identifying or descriptive marker that is attached to an object","assign a label to; designate with a label; "These students were labelled `learning disabled'"","attach a tag or label to; "label these bottles"","pronounce judgment on; "They labeled him unfit to work here"","distinguish (as a compound or molecule) by introducing a labeled atom","distinguish (an element or atom) by using a radioactive isotope or an isotope of unusual mass for tracing through chemical reactions"
labia,"a liplike structure that bounds a bodily orifice (especially any of the four labiate folds of a woman's vulva)"
labial,"a consonant whose articulation involves movement of the lips","of or relating to the lips of the mouth; "labial stops"","relating to or near the female labium"
labially
labials,"a consonant whose articulation involves movement of the lips","of or relating to the lips of the mouth; "labial stops"","relating to or near the female labium"
labiate,"having lips or parts that resemble lips"
labiated
labiates,"having lips or parts that resemble lips"
labile,"(chemistry, physics, biology) readily undergoing change or breakdown","liable to change; "an emotionally labile person""
labilities
lability
labium,"a liplike structure that bounds a bodily orifice (especially any of the four labiate folds of a woman's vulva)"
labor,"a social class comprising those who do manual labor or work for wages; "there is a shortage of skilled labor in this field"","productive work (especially physical work done for wages); "his labor did not require a great deal of skill"","concluding state of pregnancy; from the onset of contractions to the birth of a child; "she was in labor for six hours"","an organized attempt by workers to improve their status by united action (particularly via labor unions) or the leaders of this movement","a political party formed in Great Britain in 1900; characterized by the promotion of labor's interests and formerly the socialization of key industries","the federal department responsible for promoting the working conditions of wage earners in the United States; created in 1913","any piece of work that is undertaken or attempted; "he prepared for great undertakings"","strive and make an effort to reach a goal; "She tugged for years to make a decent living"; "We have to push a little to make the deadline!"; "She is driving away at her doctoral thesis"","work hard; "She was digging away at her math homework"; "Lexicographers drudge all day long"","undergo the efforts of childbirth"
laboratories
laboratory,"a workplace for the conduct of scientific research","a region resembling a laboratory inasmuch as it offers opportunities for observation and practice and experimentation; "the new nation is a testing ground for socioeconomic theories"; "Pakistan is a laboratory for studying the use of American troops to combat terrorism""
labored,"lacking natural ease; "a labored style of debating"","requiring or showing effort; "heavy breathing"; "the subject made for labored reading""
laborer,"someone who works with their hands; someone engaged in manual labor"
laborers,"someone who works with their hands; someone engaged in manual labor"
laboring,"doing arduous or unpleasant work; "drudging peasants"; "the bent backs of laboring slaves picking cotton"; "toiling coal miners in the black deeps""
laborious,"characterized by effort to the point of exhaustion; especially physical effort; "worked their arduous way up the mining valley"; "a grueling campaign"; "hard labor"; "heavy work"; "heavy going"; "spent many laborious hours on the project"; "set a punishing pace""
laboriously,"in a laborious manner; "their lives were spent in committee making decisions for others to execute on the basis of data laboriously gathered for them""
laborite
laborites
labors,"a social class comprising those who do manual labor or work for wages; "there is a shortage of skilled labor in this field"","productive work (especially physical work done for wages); "his labor did not require a great deal of skill"","concluding state of pregnancy; from the onset of contractions to the birth of a child; "she was in labor for six hours"","an organized attempt by workers to improve their status by united action (particularly via labor unions) or the leaders of this movement","a political party formed in Great Britain in 1900; characterized by the promotion of labor's interests and formerly the socialization of key industries","the federal department responsible for promoting the working conditions of wage earners in the United States; created in 1913","any piece of work that is undertaken or attempted; "he prepared for great undertakings"","strive and make an effort to reach a goal; "She tugged for years to make a decent living"; "We have to push a little to make the deadline!"; "She is driving away at her doctoral thesis"","work hard; "She was digging away at her math homework"; "Lexicographers drudge all day long"","undergo the efforts of childbirth"
labour,"a social class comprising those who do manual labor or work for wages; "there is a shortage of skilled labor in this field"","concluding state of pregnancy; from the onset of contractions to the birth of a child; "she was in labor for six hours"","a political party formed in Great Britain in 1900; characterized by the promotion of labor's interests and formerly the socialization of key industries","productive work (especially physical work done for wages); "his labor did not require a great deal of skill"","work hard; "She was digging away at her math homework"; "Lexicographers drudge all day long"","strive and make an effort to reach a goal; "She tugged for years to make a decent living"; "We have to push a little to make the deadline!"; "She is driving away at her doctoral thesis"","undergo the efforts of childbirth"
laboured,"lacking natural ease; "a labored style of debating"","requiring or showing effort; "heavy breathing"; "the subject made for labored reading""
labourer,"someone who works with their hands; someone engaged in manual labor"
labourers,"someone who works with their hands; someone engaged in manual labor"
labouring,"doing arduous or unpleasant work; "drudging peasants"; "the bent backs of laboring slaves picking cotton"; "toiling coal miners in the black deeps""
labours,"a social class comprising those who do manual labor or work for wages; "there is a shortage of skilled labor in this field"","concluding state of pregnancy; from the onset of contractions to the birth of a child; "she was in labor for six hours"","a political party formed in Great Britain in 1900; characterized by the promotion of labor's interests and formerly the socialization of key industries","productive work (especially physical work done for wages); "his labor did not require a great deal of skill"","work hard; "She was digging away at her math homework"; "Lexicographers drudge all day long"","strive and make an effort to reach a goal; "She tugged for years to make a decent living"; "We have to push a little to make the deadline!"; "She is driving away at her doctoral thesis"","undergo the efforts of childbirth"
labra
labret
labrets
labroid
labroids
labrum
labrums
labs,"a workplace for the conduct of scientific research"
laburnum,"flowering shrubs or trees having bright yellow flowers; all parts of the plant are poisonous"
laburnums,"flowering shrubs or trees having bright yellow flowers; all parts of the plant are poisonous"
labyrinth,"complex system of paths or tunnels in which it is easy to get lost","a complex system of interconnecting cavities; concerned with hearing and equilibrium"
labyrinthine,"relating to or affecting or originating in the inner ear; "labyrinthine deafness"","resembling a labyrinth in form or complexity; "a labyrinthine network of tortuous footpaths""
labyrinths,"complex system of paths or tunnels in which it is easy to get lost","a complex system of interconnecting cavities; concerned with hearing and equilibrium"
lac,"resinlike substance secreted by certain lac insects; used in e.g. varnishes and sealing wax"
lace,"a cord that is drawn through eyelets or around hooks in order to draw together two edges (as of a shoe or garment)","a delicate decorative fabric woven in an open web of symmetrical patterns","spin,wind, or twist together; "intertwine the ribbons"; "Twine the threads into a rope"; "intertwined hearts"","make by braiding or interlacing; "lace a tablecloth"","do lacework; "The Flemish women were lacing in front of the cathedral"","draw through eyes or holes; "lace the shoelaces"","add alcohol to (beverages); "the punch is spiked!""
laced,"closed with a lace; "snugly laced shoes"","edged or streaked with color; "white blossoms with purple-laced petals""
laceless
lacelike,"made of or resembling lace; "a lacy gown"; "a lacy leaf""
lacer,"a workman who laces shoes or footballs or books (during binding)"
lacerate,"cut or tear irregularly","deeply hurt the feelings of; distress; "his lacerating remarks"","irregularly slashed and jagged as if torn; "lacerate leaves"","having edges that are jagged from injury"
lacerated,"irregularly slashed and jagged as if torn; "lacerate leaves"","having edges that are jagged from injury"
lacerates,"cut or tear irregularly","deeply hurt the feelings of; distress; "his lacerating remarks"","irregularly slashed and jagged as if torn; "lacerate leaves"","having edges that are jagged from injury"
lacerating
laceration,"a torn ragged wound","the act of lacerating"
lacerations,"a torn ragged wound","the act of lacerating"
lacers,"a workman who laces shoes or footballs or books (during binding)"
lacertid,"Old World terrestrial lizard"
lacertids,"Old World terrestrial lizard"
