obduracies
obduracy,"resoluteness by virtue of being unyielding and inflexible"
obdurate,"stubbornly persistent in wrongdoing","showing unfeeling resistance to tender feelings; "his flinty gaze"; "the child's misery would move even the most obdurate heart""
obe
obeah,"(West Indies) followers of a religious system involving witchcraft and sorcery","a religious belief of African origin involving witchcraft and sorcery; practiced in parts of the West Indies and tropical Americas"
obeahism
obeahisms
obeahs,"(West Indies) followers of a religious system involving witchcraft and sorcery","a religious belief of African origin involving witchcraft and sorcery; practiced in parts of the West Indies and tropical Americas"
obedience,"the act of obeying; dutiful or submissive behavior with respect to another person","the trait of being willing to obey","behavior intended to please your parents; "their children were never very strong on obedience"; "he went to law school out of respect for his father's wishes""
obediences,"the act of obeying; dutiful or submissive behavior with respect to another person","the trait of being willing to obey","behavior intended to please your parents; "their children were never very strong on obedience"; "he went to law school out of respect for his father's wishes""
obedient,"dutifully complying with the commands or instructions of those in authority; "an obedient soldier"; "obedient children"; "a little man obedient to his wife"; "the obedient colonies...are heavily taxed; the refractory remain unburdened"- Edmund Burke"
obediently,"in an obedient manner; "obediently she slipped off her right shoe and stocking""
obeisance,"bending the head or body or knee as a sign of reverence or submission or shame or greeting","the act of obeying; dutiful or submissive behavior with respect to another person"
obeisant
obeli
obelia
obelias
obelise
obelised
obelises
obelising
obelisk,"a stone pillar having a rectangular cross section tapering towards a pyramidal top","a character used in printing to indicate a cross reference or footnote"
obelisks,"a stone pillar having a rectangular cross section tapering towards a pyramidal top","a character used in printing to indicate a cross reference or footnote"
obelism
obelisms
obelize
obelized
obelizes
obelizing
obelus
obes
obese,"excessively fat; "a weighty man""
obesely
obesities
obesity,"more than average fatness"
obey,"be obedient to"
obeyable
obeyed
obeyer
obeyers
obeying
obeys,"be obedient to"
obfuscate,"make obscure or unclear"
obfuscated
obfuscates,"make obscure or unclear"
obfuscating
obfuscation,"confusion resulting from failure to understand","the activity of obscuring people's understanding, leaving them baffled or bewildered","darkening or obscuring the sight of something"
obfuscations,"confusion resulting from failure to understand","the activity of obscuring people's understanding, leaving them baffled or bewildered","darkening or obscuring the sight of something"
obi,"(West Indies) followers of a religious system involving witchcraft and sorcery","a religious belief of African origin involving witchcraft and sorcery; practiced in parts of the West Indies and tropical Americas"
obia
obias
obiism,"belief in a kind of sorcery that originated in Africa and is practiced in the West Indies"
obiisms,"belief in a kind of sorcery that originated in Africa and is practiced in the West Indies"
obis,"(West Indies) followers of a religious system involving witchcraft and sorcery","a religious belief of African origin involving witchcraft and sorcery; practiced in parts of the West Indies and tropical Americas"
obit,"a notice of someone's death; usually includes a short biography"
obits,"a notice of someone's death; usually includes a short biography"
obituaries
obituary,"a notice of someone's death; usually includes a short biography"
object,"a tangible and visible entity; an entity that can cast a shadow; "it was full of rackets, balls and other objects"","the goal intended to be attained (and which is believed to be attainable); "the sole object of her trip was to see her children"","(grammar) a constituent that is acted upon; "the object of the verb"","the focus of cognitions or feelings; "objects of thought"; "the object of my affection"","(computing) a discrete item that provides a description of virtually anything known to a computer; "in object-oriented programming, objects include data and define its status, its methods of operation and how it interacts with other objects"","express or raise an objection or protest or criticism or express dissent; "She never objected to the amount of work her boss charged her with"; "When asked to drive the truck, she objected that she did not have a driver's license"","be averse to or express disapproval of; "My wife objects to modern furniture""
objected
objecting
objection,"the act of expressing earnest opposition or protest","the speech act of objecting","the act of protesting; a public (often organized) manifestation of dissent","(law) a procedure whereby a party to a suit says that a particular line of questioning or a particular witness or a piece of evidence or other matter is improper and should not be continued and asks the court to rule on its impropriety or illegality"
objectionable,"causing disapproval or protest; "a vulgar and objectionable person"","liable to objection or debate; used of something one might take exception to; "a thoroughly unpleasant highly exceptionable piece of writing"; "found the politician's views objectionable""
objections,"the act of expressing earnest opposition or protest","the speech act of objecting","the act of protesting; a public (often organized) manifestation of dissent","(law) a procedure whereby a party to a suit says that a particular line of questioning or a particular witness or a piece of evidence or other matter is improper and should not be continued and asks the court to rule on its impropriety or illegality"
objective,"the goal intended to be attained (and which is believed to be attainable); "the sole object of her trip was to see her children"","the lens or system of lenses in a telescope or microscope that is nearest the object being viewed","undistorted by emotion or personal bias; based on observable phenomena; "an objective appraisal"; "objective evidence"","serving as or indicating the object of a verb or of certain prepositions and used for certain other purposes; "objective case"; "accusative endings"","emphasizing or expressing things as perceived without distortion of personal feelings, insertion of fictional matter, or interpretation; "objective art"","belonging to immediate experience of actual things or events; "objective benefits"; "an objective example"; "there is no objective evidence of anything of the kind""
objectively,"with objectivity; "we must look at the facts objectively""
objectiveness,"judgment based on observable phenomena and uninfluenced by emotions or personal prejudices"
objectivenesses
objectives,"the goal intended to be attained (and which is believed to be attainable); "the sole object of her trip was to see her children"","the lens or system of lenses in a telescope or microscope that is nearest the object being viewed","undistorted by emotion or personal bias; based on observable phenomena; "an objective appraisal"; "objective evidence"","serving as or indicating the object of a verb or of certain prepositions and used for certain other purposes; "objective case"; "accusative endings"","emphasizing or expressing things as perceived without distortion of personal feelings, insertion of fictional matter, or interpretation; "objective art"","belonging to immediate experience of actual things or events; "objective benefits"; "an objective example"; "there is no objective evidence of anything of the kind""
objectivities
objectivity,"judgment based on observable phenomena and uninfluenced by emotions or personal prejudices"
objector,"a person who dissents from some established policy"
objectors,"a person who dissents from some established policy"
objects,"a tangible and visible entity; an entity that can cast a shadow; "it was full of rackets, balls and other objects"","the goal intended to be attained (and which is believed to be attainable); "the sole object of her trip was to see her children"","(grammar) a constituent that is acted upon; "the object of the verb"","the focus of cognitions or feelings; "objects of thought"; "the object of my affection"","(computing) a discrete item that provides a description of virtually anything known to a computer; "in object-oriented programming, objects include data and define its status, its methods of operation and how it interacts with other objects"","express or raise an objection or protest or criticism or express dissent; "She never objected to the amount of work her boss charged her with"; "When asked to drive the truck, she objected that she did not have a driver's license"","be averse to or express disapproval of; "My wife objects to modern furniture""
oblast
oblasti
oblasts
oblate,"a lay person dedicated to religious work or the religious life","having the equatorial diameter greater than the polar diameter; being flattened at the poles"
oblately
oblates,"a lay person dedicated to religious work or the religious life","having the equatorial diameter greater than the polar diameter; being flattened at the poles"
oblation,"the act of contributing to the funds of a church or charity; "oblations for aid to the poor"","the act of offering the bread and wine of the Eucharist"
oblations,"the act of contributing to the funds of a church or charity; "oblations for aid to the poor"","the act of offering the bread and wine of the Eucharist"
oblatory
obligate,"force somebody to do something; "We compel all students to fill out this form"","commit in order to fulfill an obligation; "obligate money"","bind by an obligation; cause to be indebted; "He's held by a contract"; "I'll hold you by your promise"","restricted to a particular condition of life; "an obligate anaerobe can survive only in the absence of oxygen""
obligated,"caused by law or conscience to follow a certain course; "felt obligated to repay the kindness"; "was obligated to pay off the student loan""
obligates,"force somebody to do something; "We compel all students to fill out this form"","commit in order to fulfill an obligation; "obligate money"","bind by an obligation; cause to be indebted; "He's held by a contract"; "I'll hold you by your promise"","restricted to a particular condition of life; "an obligate anaerobe can survive only in the absence of oxygen""
obligati,"a persistent but subordinate motif","a part of the score that must be performed without change or omission"
obligating
obligation,"the social force that binds you to the courses of action demanded by that force; "we must instill a sense of duty in our children"; "every right implies a responsibility; every opportunity, an obligation; every possession, a duty"- John D.Rockefeller Jr","the state of being obligated to do or pay something; "he is under an obligation to finish the job"","a personal relation in which one is indebted for a service or favor","a written promise to repay a debt","a legal agreement specifying a payment or action and the penalty for failure to comply"
obligations,"the social force that binds you to the courses of action demanded by that force; "we must instill a sense of duty in our children"; "every right implies a responsibility; every opportunity, an obligation; every possession, a duty"- John D.Rockefeller Jr","the state of being obligated to do or pay something; "he is under an obligation to finish the job"","a personal relation in which one is indebted for a service or favor","a written promise to repay a debt","a legal agreement specifying a payment or action and the penalty for failure to comply"
obligato,"a persistent but subordinate motif","a part of the score that must be performed without change or omission"
obligatory,"morally or legally constraining or binding; "attendance is obligatory"; "an obligatory contribution"","required by obligation or compulsion or convention; "he made all the obligatory apologies""
obligatos,"a persistent but subordinate motif","a part of the score that must be performed without change or omission"
oblige,"force somebody to do something; "We compel all students to fill out this form"","bind by an obligation; cause to be indebted; "He's held by a contract"; "I'll hold you by your promise"","provide a service or favor for someone; "We had to oblige him""
obliged,"under a moral obligation to do something"
obligee
obligees
obliger,"someone who performs a service or does a favor"
obligers,"someone who performs a service or does a favor"
obliges,"force somebody to do something; "We compel all students to fill out this form"","bind by an obligation; cause to be indebted; "He's held by a contract"; "I'll hold you by your promise"","provide a service or favor for someone; "We had to oblige him""
obliging,"showing a cheerful willingness to do favors for others; "to close one's eyes like a complaisant husband whose wife has taken a lover"; "the obliging waiter was in no hurry for us to leave""
obligingly,"in accommodation; "obligingly, he lowered his voice""
obligor
obligors
oblique,"any grammatical case other than the nominative","a diagonally arranged abdominal muscle on either side of the torso","slanting or inclined in direction or course or position--neither parallel nor perpendicular nor right-angled; "the oblique rays of the winter sun"; "acute and obtuse angles are oblique angles"; "the axis of an oblique cone is not perpendicular to its base"","indirect in departing from the accepted or proper way; misleading; "used devious means to achieve success"; "gave oblique answers to direct questions"; "oblique political maneuvers""
obliqued
obliquely,"to, toward or at one side; "darting eyes looking sidelong out of a wizened face"","at an oblique angle; "the sun shone aslant into his face""
obliqueness,"the property of being neither parallel nor perpendicular, but at a slanting angle","the quality of being oblique and rambling indirectly"
obliquenesses
obliques,"any grammatical case other than the nominative","a diagonally arranged abdominal muscle on either side of the torso","slanting or inclined in direction or course or position--neither parallel nor perpendicular nor right-angled; "the oblique rays of the winter sun"; "acute and obtuse angles are oblique angles"; "the axis of an oblique cone is not perpendicular to its base"","indirect in departing from the accepted or proper way; misleading; "used devious means to achieve success"; "gave oblique answers to direct questions"; "oblique political maneuvers""
obliquing
obliquities
obliquity,"the presentation during labor of the head of the fetus at an abnormal angle","the quality of being deceptive"
obliterate,"mark for deletion, rub off, or erase; "kill these lines in the President's speech"","make undecipherable or imperceptible by obscuring or concealing; "a hidden message"; "a veiled threat"","remove completely from recognition or memory; "efface the memory of the time in the camps"","do away with completely, without leaving a trace","reduced to nothingness"
obliterated,"reduced to nothingness"
obliterates,"mark for deletion, rub off, or erase; "kill these lines in the President's speech"","make undecipherable or imperceptible by obscuring or concealing; "a hidden message"; "a veiled threat"","remove completely from recognition or memory; "efface the memory of the time in the camps"","do away with completely, without leaving a trace","reduced to nothingness"
obliterating
obliteration,"destruction by annihilating something","the complete destruction of every trace of something"
obliterations,"destruction by annihilating something","the complete destruction of every trace of something"
oblivion,"the state of being disregarded or forgotten","total forgetfulness; "he sought the great oblivion of sleep""
oblivions,"the state of being disregarded or forgotten","total forgetfulness; "he sought the great oblivion of sleep""
oblivious,"(followed by `to' or `of') lacking conscious awareness of; "oblivious of the mounting pressures for political reform"; "oblivious to the risks she ran"; "not unmindful of the heavy responsibility"","failing to keep in mind; "forgetful of her responsibilities"; "oblivious old age""
obliviously
obliviousness,"total forgetfulness; "he sought the great oblivion of sleep""
obliviousnesses
oblong,"a plane figure that deviates from a square or circle due to elongation","(of a leaf shape) having a somewhat elongated form with approximately parallel sides","deviating from a square or circle or sphere by being elongated in one direction"
oblongly
oblongs,"a plane figure that deviates from a square or circle due to elongation","(of a leaf shape) having a somewhat elongated form with approximately parallel sides","deviating from a square or circle or sphere by being elongated in one direction"
obloquies
obloquy,"state of disgrace resulting from public abuse","a false accusation of an offense or a malicious misrepresentation of someone's words or actions"
obnoxious,"causing disapproval or protest; "a vulgar and objectionable person""
obnoxiously,"in an obnoxious manner; "he said so in one of his more offensively intellectually arrogant sentences""
obnoxiousness,"the quality of being hateful"
obnoxiousnesses
oboe,"a slender double-reed instrument; a woodwind with a conical bore and a double-reed mouthpiece"
oboes,"a slender double-reed instrument; a woodwind with a conical bore and a double-reed mouthpiece"
oboist,"a musician who plays the oboe"
oboists,"a musician who plays the oboe"
obol
obole
oboles
oboli,"a Greek unit of weight equal to one tenth of a gram"
obols
obolus,"a Greek unit of weight equal to one tenth of a gram"
obovate,"(of a leaf shape) egg-shaped with the narrower end at the base"
obovoid
obscene,"designed to incite to indecency or lust; "the dance often becomes flagrantly obscene"-Margaret Mead","offensive to the mind; "an abhorrent deed"; "the obscene massacre at Wounded Knee"; "morally repugnant customs"; "repulsive behavior"; "the most repulsive character in recent novels"","suggestive of or tending to moral looseness; "lewd whisperings of a dirty old man"; "an indecent gesture"; "obscene telephone calls"; "salacious limericks""
obscenely,"to an obscene degree; "this man is obscenely rich"","in a lewd and obscene manner; "he had seen how in their dances the white men and women held one another obscenely""
obscener
obscenest
obscenities
obscenity,"the trait of behaving in an obscene manner","an offensive or indecent word or phrase","an obscene act"
obscure,"make less visible or unclear; "The stars are obscured by the clouds"; "the big elm tree obscures our view of the valley"","make unclear, indistinct, or blurred; "Her remarks confused the debate"; "Their words obnubilate their intentions"","make obscure or unclear; "The distinction was obscured"","reduce a vowel to a neutral one, such as a schwa","make undecipherable or imperceptible by obscuring or concealing; "a hidden message"; "a veiled threat"","not clearly understood or expressed; "an obscure turn of phrase"; "an impulse to go off and fight certain obscure battles of his own spirit"-Anatole Broyard; "their descriptions of human behavior become vague, dull, and unclear"- P.A.Sorokin; "vague...forms of speech...have so long passed for mysteries of science"- John Locke","marked by difficulty of style or expression; "much that was dark is now quite clear to me"; "those who do not appreciate Kafka's work say his style is obscure"","difficult to find; "hidden valleys"; "a hidden cave"; "an obscure retreat"","not famous or acclaimed; "an obscure family"; "unsung heroes of the war"","not drawing attention; "an unnoticeable cigarette burn on the carpet"; "an obscure flaw"","remote and separate physically or socially; "existed over the centuries as a world apart"; "preserved because they inhabited a place apart"- W.H.Hudson; "tiny isolated villages remote from centers of civilization"; "an obscure village""
obscured
obscurely,"in an obscure manner; "this work is obscurely written""
obscurer
obscures,"make less visible or unclear; "The stars are obscured by the clouds"; "the big elm tree obscures our view of the valley"","make unclear, indistinct, or blurred; "Her remarks confused the debate"; "Their words obnubilate their intentions"","make obscure or unclear; "The distinction was obscured"","reduce a vowel to a neutral one, such as a schwa","make undecipherable or imperceptible by obscuring or concealing; "a hidden message"; "a veiled threat"","not clearly understood or expressed; "an obscure turn of phrase"; "an impulse to go off and fight certain obscure battles of his own spirit"-Anatole Broyard; "their descriptions of human behavior become vague, dull, and unclear"- P.A.Sorokin; "vague...forms of speech...have so long passed for mysteries of science"- John Locke","marked by difficulty of style or expression; "much that was dark is now quite clear to me"; "those who do not appreciate Kafka's work say his style is obscure"","difficult to find; "hidden valleys"; "a hidden cave"; "an obscure retreat"","not famous or acclaimed; "an obscure family"; "unsung heroes of the war"","not drawing attention; "an unnoticeable cigarette burn on the carpet"; "an obscure flaw"","remote and separate physically or socially; "existed over the centuries as a world apart"; "preserved because they inhabited a place apart"- W.H.Hudson; "tiny isolated villages remote from centers of civilization"; "an obscure village""
obscurest
obscuring
obscurities
obscurity,"the quality of being unclear or abstruse and hard to understand","an obscure and unimportant standing; not well known; "he worked in obscurity for many years"","the state of being indistinct or indefinite for lack of adequate illumination"
obsequies
obsequious,"attempting to win favor from influential people by flattery","attentive in an ingratiating or servile manner; "obsequious shop assistants""
obsequiously,"in an obsequious manner; "she acts obsequiously toward her boss""
obsequiousness,"abject or cringing submissiveness"
obsequiousnesses
obsequy
observance,"the act of observing; taking a patient look","a formal event performed on a special occasion; "a ceremony commemorating Pearl Harbor"","the act of noticing or paying attention; "he escaped the notice of the police"","conformity with law or custom or practice etc."
observances,"the act of observing; taking a patient look","a formal event performed on a special occasion; "a ceremony commemorating Pearl Harbor"","the act of noticing or paying attention; "he escaped the notice of the police"","conformity with law or custom or practice etc."
observant,"paying close attention especially to details","quick to notice; showing quick and keen perception","(of individuals) adhering strictly to laws and rules and customs; "law-abiding citizens"; "observant of the speed limit""
observation,"the act of making and recording a measurement","the act of observing; taking a patient look","a remark expressing careful consideration","facts learned by observing; "he reported his observations to the mayor"","the act of noticing or paying attention; "he escaped the notice of the police""
observations,"the act of making and recording a measurement","the act of observing; taking a patient look","a remark expressing careful consideration","facts learned by observing; "he reported his observations to the mayor"","the act of noticing or paying attention; "he escaped the notice of the police""
observatories
observatory,"a building designed and equipped to observe astronomical phenomena","a structure commanding a wide view of its surroundings"
observe,"discover or determine the existence, presence, or fact of; "She detected high levels of lead in her drinking water"; "We found traces of lead in the paint"","make mention of; "She observed that his presentation took up too much time"; "They noted that it was a fine day to go sailing"","observe with care or pay close attention to; "Take note of this chemical reaction"","watch attentively; "Please observe the reaction of these two chemicals"","show respect towards; "honor your parents!"","behave as expected during of holidays or rites; "Keep the commandments"; "celebrate Christmas"; "Observe Yom Kippur"","follow with the eyes or the mind; "Keep an eye on the baby, please!"; "The world is watching Sarajevo"; "She followed the men with the binoculars"","stick to correctly or closely; "The pianist kept time with the metronome"; "keep count"; "I cannot keep track of all my employees"","conform one's action or practice to; "keep appointments"; "she never keeps her promises"; "We kept to the original conditions of the contract""
observed,"discovered or determined by scientific observation; "variation in the ascertained flux depends on a number of factors"; "the discovered behavior norms"; "discovered differences in achievement"; "no explanation for the observed phenomena""
observer,"a person who becomes aware (of things or events) through the senses","an expert who observes and comments on something"
observers,"a person who becomes aware (of things or events) through the senses","an expert who observes and comments on something"
observes,"discover or determine the existence, presence, or fact of; "She detected high levels of lead in her drinking water"; "We found traces of lead in the paint"","make mention of; "She observed that his presentation took up too much time"; "They noted that it was a fine day to go sailing"","observe with care or pay close attention to; "Take note of this chemical reaction"","watch attentively; "Please observe the reaction of these two chemicals"","show respect towards; "honor your parents!"","behave as expected during of holidays or rites; "Keep the commandments"; "celebrate Christmas"; "Observe Yom Kippur"","follow with the eyes or the mind; "Keep an eye on the baby, please!"; "The world is watching Sarajevo"; "She followed the men with the binoculars"","stick to correctly or closely; "The pianist kept time with the metronome"; "keep count"; "I cannot keep track of all my employees"","conform one's action or practice to; "keep appointments"; "she never keeps her promises"; "We kept to the original conditions of the contract""
observing,"quick to notice; showing quick and keen perception"
obsess,"haunt like a ghost; pursue; "Fear of illness haunts her"","be preoccupied with something; "She is obsessing over her weight""
obsessed,"having or showing excessive or compulsive concern with something; "became more and more haunted by the stupid riddle"; "was absolutely obsessed with the girl"; "got no help from his wife who was preoccupied with the children"; "he was taken up in worry for the old woman"","influenced or controlled by a powerful force such as a strong emotion; "by love possessed""
obsesses
obsessing
obsession,"an irrational motive for performing trivial or repetitive actions, even against your will; "her compulsion to wash her hands repeatedly"","an unhealthy and compulsive preoccupation with something or someone"
obsessions,"an irrational motive for performing trivial or repetitive actions, even against your will; "her compulsion to wash her hands repeatedly"","an unhealthy and compulsive preoccupation with something or someone"
obsessive,"a person who has obsessions","characterized by or constituting an obsession; "the obsessional character of his response"; "obsessive gambling""
obsessively,"in a compulsive manner; "he cleaned his shoes compulsively after every walk""
obsessor
obsessors
obsidian,"acid or granitic glass formed by the rapid cooling of lava without crystallization; usually dark, but transparent in thin pieces"
obsidians,"acid or granitic glass formed by the rapid cooling of lava without crystallization; usually dark, but transparent in thin pieces"
obsolescence,"the process of becoming obsolete; falling into disuse or becoming out of date; "a policy of planned obsolescence""
obsolescences,"the process of becoming obsolete; falling into disuse or becoming out of date; "a policy of planned obsolescence""
obsolescent,"becoming obsolete"
obsolete,"no longer in use; "obsolete words""
obsoleted
obsoletes,"no longer in use; "obsolete words""
obsoleting
obstacle,"something immaterial that stands in the way and must be circumvented or surmounted; "lack of imagination is an obstacle to one's advancement"; "the poverty of a district is an obstacle to good education"; "the filibuster was a major obstruction to the success of their plan"","an obstruction that stands in the way (and must be removed or surmounted or circumvented)"
obstacles,"something immaterial that stands in the way and must be circumvented or surmounted; "lack of imagination is an obstacle to one's advancement"; "the poverty of a district is an obstacle to good education"; "the filibuster was a major obstruction to the success of their plan"","an obstruction that stands in the way (and must be removed or surmounted or circumvented)"
obstetrical,"of or relating to or used in or practicing obstetrics; "obstetric hospital""
obstetrician,"a physician specializing in obstetrics"
obstetricians,"a physician specializing in obstetrics"
obstetrics,"the branch of medicine dealing with childbirth and care of the mother","of or relating to or used in or practicing obstetrics; "obstetric hospital""
obstinacies
obstinacy,"the trait of being difficult to handle or overcome","resolute adherence to your own ideas or desires"
obstinate,"persist stubbornly; "he obstinates himself against all rational arguments"","tenaciously unwilling or marked by tenacious unwillingness to yield","stubbornly persistent in wrongdoing","resistant to guidance or discipline; "Mary Mary quite contrary"; "an obstinate child with a violent temper"; "a perverse mood"; "wayward behavior""
obstinately,"in a stubborn unregenerate manner; "she remained stubbornly in the same position""
obstreperous,"noisily and stubbornly defiant; "obstreperous boys"","boisterously and noisily aggressive; "kept up an obstreperous clamor""
obstreperousness,"noisy defiance"
obstreperousnesses
obstruct,"hinder or prevent the progress or accomplishment of; "His brother blocked him at every turn"","block passage through; "obstruct the path"","shut out from view or get in the way so as to hide from sight; "The thick curtain blocked the action on the stage"; "The trees obstruct my view of the mountains""
obstructed,"shut off to passage or view or hindered from action; "a partially obstructed passageway"; "an obstructed view"; "justice obstructed is not justice""
obstructing
obstruction,"any structure that makes progress difficult","the physical condition of blocking or filling a passage with an obstruction","something immaterial that stands in the way and must be circumvented or surmounted; "lack of imagination is an obstacle to one's advancement"; "the poverty of a district is an obstacle to good education"; "the filibuster was a major obstruction to the success of their plan"","the act of obstructing; "obstruction of justice"","getting in someone's way"
obstructions,"any structure that makes progress difficult","the physical condition of blocking or filling a passage with an obstruction","something immaterial that stands in the way and must be circumvented or surmounted; "lack of imagination is an obstacle to one's advancement"; "the poverty of a district is an obstacle to good education"; "the filibuster was a major obstruction to the success of their plan"","the act of obstructing; "obstruction of justice"","getting in someone's way"
obstructive,"preventing movement; "the clogging crowds of revelers overflowing into the street""
obstructor,"someone who systematically obstructs some action that others want to take","any structure that makes progress difficult"
obstructors,"someone who systematically obstructs some action that others want to take","any structure that makes progress difficult"
obstructs,"hinder or prevent the progress or accomplishment of; "His brother blocked him at every turn"","block passage through; "obstruct the path"","shut out from view or get in the way so as to hide from sight; "The thick curtain blocked the action on the stage"; "The trees obstruct my view of the mountains""
