epact
epacts
eparch,"a bishop or metropolitan in charge of an eparchy in the Eastern Church","the governor or prefect of an eparchy in ancient Greece"
eparchies
eparchs,"a bishop or metropolitan in charge of an eparchy in the Eastern Church","the governor or prefect of an eparchy in ancient Greece"
eparchy,"a province in ancient Greece","a diocese of the Eastern Orthodox Church"
epaulet,"adornment consisting of an ornamental cloth pad worn on the shoulder"
epaulets,"adornment consisting of an ornamental cloth pad worn on the shoulder"
epee,"a fencing sword similar to a foil but with a heavier blade"
epeeist
epeeists
epees,"a fencing sword similar to a foil but with a heavier blade"
epeiric
epergne,"a large table centerpiece with branching holders for fruit or sweets or flowers"
epergnes,"a large table centerpiece with branching holders for fruit or sweets or flowers"
epha,"an ancient Hebrew unit of dry measure equal to about a bushel"
ephah,"an ancient Hebrew unit of dry measure equal to about a bushel"
ephahs,"an ancient Hebrew unit of dry measure equal to about a bushel"
ephas,"an ancient Hebrew unit of dry measure equal to about a bushel"
ephebe
ephebes
ephebi
ephebic
epheboi
ephebos
ephebus
ephedra,"jointed and nearly leafless desert shrub having reduced scalelike leaves and reddish fleshy seeds"
ephedras,"jointed and nearly leafless desert shrub having reduced scalelike leaves and reddish fleshy seeds"
ephedrin
ephedrins
ephemera,"something transitory; lasting a day"
ephemerae,"something transitory; lasting a day"
ephemeras,"something transitory; lasting a day"
ephod
ephods
ephor
ephoral
ephorate
ephorates
ephori
ephors
epiblast
epiblasts
epibolic
epibolies
epiboly
epic,"a long narrative poem telling of a hero's deeds","very imposing or impressive; surpassing the ordinary (especially in size or scale); "an epic voyage"; "of heroic proportions"; "heroic sculpture"","constituting or having to do with or suggestive of a literary epic; "epic tradition""
epical,"constituting or having to do with or suggestive of a literary epic; "epic tradition""
epically
epicalyces,"a group of bracts simulating a calyx as in a carnation or hibiscus"
epicalyx,"a group of bracts simulating a calyx as in a carnation or hibiscus"
epicalyxes
epicarp,"outermost layer of the pericarp of fruits as the skin of a peach or grape"
epicarps,"outermost layer of the pericarp of fruits as the skin of a peach or grape"
epicedia
epicene,"one having both male and female sexual characteristics and organs; at birth an unambiguous assignment of male or female cannot be made","having an ambiguous sexual identity","having unsuitable feminine qualities"
epicenes,"one having both male and female sexual characteristics and organs; at birth an unambiguous assignment of male or female cannot be made","having an ambiguous sexual identity","having unsuitable feminine qualities"
epiclike
epicotyl
epicotyls
epics,"a long narrative poem telling of a hero's deeds","very imposing or impressive; surpassing the ordinary (especially in size or scale); "an epic voyage"; "of heroic proportions"; "heroic sculpture"","constituting or having to do with or suggestive of a literary epic; "epic tradition""
epicure,"a person devoted to refined sensuous enjoyment (especially good food and drink)"
epicurean,"a person devoted to refined sensuous enjoyment (especially good food and drink)","of Epicurus or epicureanism; "Epicurean philosophy"","devoted to pleasure; "a hedonic thrill"; "lives of unending hedonistic delight"; "epicurean pleasures"","displaying luxury and furnishing gratification to the senses; "an epicurean banquet"; "enjoyed a luxurious suite with a crystal chandelier and thick oriental rugs"; "Lucullus spent the remainder of his days in voluptuous magnificence"; "a chinchilla robe of sybaritic lavishness""
epicureans,"a person devoted to refined sensuous enjoyment (especially good food and drink)","of Epicurus or epicureanism; "Epicurean philosophy"","devoted to pleasure; "a hedonic thrill"; "lives of unending hedonistic delight"; "epicurean pleasures"","displaying luxury and furnishing gratification to the senses; "an epicurean banquet"; "enjoyed a luxurious suite with a crystal chandelier and thick oriental rugs"; "Lucullus spent the remainder of his days in voluptuous magnificence"; "a chinchilla robe of sybaritic lavishness""
epicures,"a person devoted to refined sensuous enjoyment (especially good food and drink)"
epicycle,"a circle that rolls around (inside or outside) another circle; generates an epicycloid or hypocycloid"
epicycles,"a circle that rolls around (inside or outside) another circle; generates an epicycloid or hypocycloid"
epidemic,"a widespread outbreak of an infectious disease; many people are infected at the same time","(especially of medicine) of disease or anything resembling a disease; attacking or affecting many individuals in a community or a population simultaneously; "an epidemic outbreak of influenza""
epidemics,"a widespread outbreak of an infectious disease; many people are infected at the same time","(especially of medicine) of disease or anything resembling a disease; attacking or affecting many individuals in a community or a population simultaneously; "an epidemic outbreak of influenza""
epidemiology,"the branch of medical science dealing with the transmission and control of disease"
epiderm
epidermis,"the outer layer of the skin covering the exterior body surface of vertebrates"
epidermises
epiderms
epidote
epidotes
epidotic
epidural,"regional anesthesia resulting from injection of an anesthetic into the epidural space of the spinal cord; sensation is lost in the abdominal and genital and pelvic areas; used in childbirth and gynecological surgery","on or outside the dura mater"
epifauna
epifaunae
epifaunas
epifocal
epigeal
epigean
epigene
epigenic
epigeous
epigon,"an inferior imitator of some distinguished writer or artist of musician"
epigone,"an inferior imitator of some distinguished writer or artist of musician"
epigones,"an inferior imitator of some distinguished writer or artist of musician"
epigoni
epigonic
epigons,"an inferior imitator of some distinguished writer or artist of musician"
epigonus
epigram,"a witty saying"
epigrammatic,"terse and witty and like a maxim; "much given to apothegmatic instruction""
epigrams,"a witty saying"
epigraph,"a quotation at the beginning of some piece of writing","an engraved inscription"
epigraphs,"a quotation at the beginning of some piece of writing","an engraved inscription"
epigynies
epigyny
epilepsies
epilepsy,"a disorder of the central nervous system characterized by loss of consciousness and convulsions"
epileptic,"a person who has epilepsy","of or relating to or characteristic of epilepsy; "epileptic seizure""
epileptics,"a person who has epilepsy","of or relating to or characteristic of epilepsy; "epileptic seizure""
epilog,"a short speech (often in verse) addressed directly to the audience by an actor at the end of a play","a short passage added at the end of a literary work; "the epilogue told what eventually happened to the main characters""
epilogs,"a short speech (often in verse) addressed directly to the audience by an actor at the end of a play","a short passage added at the end of a literary work; "the epilogue told what eventually happened to the main characters""
epilogue,"a short speech (often in verse) addressed directly to the audience by an actor at the end of a play","a short passage added at the end of a literary work; "the epilogue told what eventually happened to the main characters""
epilogued
epilogues,"a short speech (often in verse) addressed directly to the audience by an actor at the end of a play","a short passage added at the end of a literary work; "the epilogue told what eventually happened to the main characters""
epiloguing
epimer
epimere
epimeres
epimeric
epimers
epimysia
epinaoi
epinaos
epinasties
epinasty
epiphanies
epiphany,"a divine manifestation","twelve days after Christmas; celebrates the visit of the three wise men to the infant Jesus"
epiphyte,"plant that derives moisture and nutrients from the air and rain; usually grows on another plant but not parasitic on it"
epiphytes,"plant that derives moisture and nutrients from the air and rain; usually grows on another plant but not parasitic on it"
episcia,"any plant of the genus Episcia; usually creeping and stoloniferous and of cascading habit; grown for their colorful foliage and flowers"
episcias,"any plant of the genus Episcia; usually creeping and stoloniferous and of cascading habit; grown for their colorful foliage and flowers"
episcopal,"of or pertaining to or characteristic of the Episcopal church; "the Episcopal hierarchy"; "married by an Episcopalian minister"","denoting or governed by or relating to a bishop or bishops"
episcope
episcopes
episode,"a happening that is distinctive in a series of related events","a brief section of a literary or dramatic work that forms part of a connected series","a part of a broadcast serial","film consisting of a succession of related shots that develop a given subject in a movie"
episodes,"a happening that is distinctive in a series of related events","a brief section of a literary or dramatic work that forms part of a connected series","a part of a broadcast serial","film consisting of a succession of related shots that develop a given subject in a movie"
episodic,"of writing or narration; divided into or composed of episodes; "the book is episodic and the incidents don't always hang together"","occurring or appearing at usually irregular intervals; "episodic in his affections"; "occasional headaches"","limited in duration to a single episode; "an account concerned primarily with episodic events such as the succession of rulers""
episomal
episome,"DNA that is not incorporated into the genome but is replicated together with the genome (especially in bacterial cells)"
episomes,"DNA that is not incorporated into the genome but is replicated together with the genome (especially in bacterial cells)"
epistasies
epistasy
epistaxis,"bleeding from the nose"
epistle,"a specially long, formal letter","a book of the New Testament written in the form of a letter from an Apostle"
epistler
epistlers
epistles,"a specially long, formal letter","a book of the New Testament written in the form of a letter from an Apostle"
epistyle
epistyles
epitaph,"an inscription on a tombstone or monument in memory of the person buried there","a summary statement of commemoration for a dead person"
epitaphs,"an inscription on a tombstone or monument in memory of the person buried there","a summary statement of commemoration for a dead person"
epitases
epitasis
epitaxies
epitaxy,"growing a crystal layer of one mineral on the crystal base of another mineral in such a manner that its crystalline orientation is the same as that of the substrate"
epithet,"a defamatory or abusive word or phrase","descriptive word or phrase"
epithets,"a defamatory or abusive word or phrase","descriptive word or phrase"
epitome,"a standard or typical example; "he is the prototype of good breeding"; "he provided America with an image of the good father"","a brief abstract (as of an article or book)"
epitomes,"a standard or typical example; "he is the prototype of good breeding"; "he provided America with an image of the good father"","a brief abstract (as of an article or book)"
epitomic
epitomize,"embody the essential characteristics of or be a typical example of; "The fugue typifies Bach's style of composition""
epitomized
epitomizes,"embody the essential characteristics of or be a typical example of; "The fugue typifies Bach's style of composition""
epitomizing
epizoa,"any external parasitic organism (as fleas)"
epizoic,"living or growing on the exterior surface of an animal usually as a parasite; "an epizoic plant parasite""
epizoism
epizoisms
epizoite
epizoites
epizoon,"any external parasitic organism (as fleas)"
epizooties
epizooty
epoch,"a period marked by distinctive character or reckoned from a fixed point or event","(astronomy) an arbitrarily fixed date that is the point in time relative to which information (as coordinates of a celestial body) is recorded","a unit of geological time that is a subdivision of a period and is itself divided into ages"
epochal,"highly significant or important especially bringing about or marking the beginning of a new development or era; "epochal decisions made by Roosevelt and Churchill"; "an epoch-making discovery""
epochs,"a period marked by distinctive character or reckoned from a fixed point or event","(astronomy) an arbitrarily fixed date that is the point in time relative to which information (as coordinates of a celestial body) is recorded","a unit of geological time that is a subdivision of a period and is itself divided into ages"
epode
epodes
eponym,"the person for whom something is named; "Constantine I is the eponym for Constantinople"","the name derived from a person (real or imaginary); "Down's syndrome is an eponym for the English physician John Down""
eponymic,"being or relating to or bearing the name of an eponym"
eponymies
eponyms,"the person for whom something is named; "Constantine I is the eponym for Constantinople"","the name derived from a person (real or imaginary); "Down's syndrome is an eponym for the English physician John Down""
eponymy,"the derivation of a general name from that of a famous person"
epopee
epopees
epopoeia
epopoeias
epos,"a body of poetry that conveys the traditions of a society by treating some epic theme","a long narrative poem telling of a hero's deeds"
eposes
epoxide
epoxides
epoxied
epoxies
epoxy,"a thermosetting resin; used chiefly in strong adhesives and coatings and laminates","glue with epoxy; "epoxy the shards""
epoxyed
epoxying
epsilon,"the 5th letter of the Greek alphabet"
epsilons,"the 5th letter of the Greek alphabet"
