skag,"street names for heroin"
skags,"street names for heroin"
skald
skaldic
skalds
skat
skate,"sports equipment that is worn on the feet to enable the wearer to glide along and to be propelled by the alternate actions of the legs","large edible rays having a long snout and thick tail with pectoral fins continuous with the head; swim by undulating the edges of the pectoral fins","move along on skates; "The Dutch often skate along the canals in winter""
skated
skater,"someone who skates"
skaters,"someone who skates"
skates,"sports equipment that is worn on the feet to enable the wearer to glide along and to be propelled by the alternate actions of the legs","large edible rays having a long snout and thick tail with pectoral fins continuous with the head; swim by undulating the edges of the pectoral fins","move along on skates; "The Dutch often skate along the canals in winter""
skating,"the sport of gliding on skates"
skatings,"the sport of gliding on skates"
skatol
skatole
skatoles
skatols
skats
skean
skeane
skeanes
skeans
skee
skeed
skeeing
skeen
skeens
skees
skeet,"the sport of shooting at clay pigeons that are hurled upward in such a way as to simulate the flight of a bird"
skeeter
skeeters
skeets,"the sport of shooting at clay pigeons that are hurled upward in such a way as to simulate the flight of a bird"
skeg,"a brace that extends from the rear of the keel to support the rudderpost"
skegs,"a brace that extends from the rear of the keel to support the rudderpost"
skeigh
skein,"coils of worsted yarn"
skeined
skeining
skeins,"coils of worsted yarn"
skeletal,"of or relating to or forming or attached to a skeleton; "the skeletal system"; "skeletal bones"; "skeletal muscles"","very thin especially from disease or hunger or cold; "emaciated bony hands"; "a nightmare population of gaunt men and skeletal boys"; "eyes were haggard and cavernous"; "small pinched faces"; "kept life in his wasted frame only by grim concentration""
skeleton,"something reduced to its minimal form; "the battalion was a mere skeleton of its former self"; "the bare skeleton of a novel"","a scandal that is kept secret; "there must be a skeleton somewhere in that family's closet"","the hard structure (bones and cartilages) that provides a frame for the body of an animal","the internal supporting structure that gives an artifact its shape; "the building has a steel skeleton""
skeletons,"something reduced to its minimal form; "the battalion was a mere skeleton of its former self"; "the bare skeleton of a novel"","a scandal that is kept secret; "there must be a skeleton somewhere in that family's closet"","the hard structure (bones and cartilages) that provides a frame for the body of an animal","the internal supporting structure that gives an artifact its shape; "the building has a steel skeleton""
skellum
skellums
skelp
skelped
skelping
skelpit
skelps
skelter
skeltered
skeltering
skelters
skene
skenes
skep,"a large round wicker basket (used on farms)","a domed beehive made of twisted straw"
skeps,"a large round wicker basket (used on farms)","a domed beehive made of twisted straw"
skepsis
skepsises
skeptic,"someone who habitually doubts accepted beliefs"
skeptical,"denying or questioning the tenets of especially a religion; "a skeptical approach to the nature of miracles"","marked by or given to doubt; "a skeptical attitude"; "a skeptical listener""
skepticism,"doubt about the truth of something","the disbelief in any claims of ultimate knowledge"
skepticisms,"doubt about the truth of something","the disbelief in any claims of ultimate knowledge"
skeptics,"someone who habitually doubts accepted beliefs"
skerries
skerry
sketch,"preliminary drawing for later elaboration; "he made several studies before starting to paint"","a brief literary description","short descriptive summary (of events)","a humorous or satirical drawing published in a newspaper or magazine","make a sketch of; "sketch the building"","describe roughly or briefly or give the main points or summary of; "sketch the outline of the book"; "outline his ideas""
sketched
sketcher,"someone who draws sketches","an implement for sketching"
sketchers,"someone who draws sketches","an implement for sketching"
sketches
sketchier,"giving only major points; lacking completeness; "a sketchy account"; "details of the plan remain sketchy""
sketchiest,"giving only major points; lacking completeness; "a sketchy account"; "details of the plan remain sketchy""
sketching
sketchy,"giving only major points; lacking completeness; "a sketchy account"; "details of the plan remain sketchy""
skew,"turn or place at an angle; "the lines on the sheet of paper are skewed"","having an oblique or slanting direction or position; "the picture was skew""
skewback
skewbacks
skewbald
skewbalds
skewed,"having an oblique or slanting direction or position; "the picture was skew""
skewer,"a long pin for holding meat in position while it is being roasted","drive a skewer through; "skewer the meat for the BBQ""
skewered
skewering
skewers,"a long pin for holding meat in position while it is being roasted","drive a skewer through; "skewer the meat for the BBQ""
skewing
skewness,"an oblique or slanting asymmetry"
skewnesses
skews,"turn or place at an angle; "the lines on the sheet of paper are skewed"","having an oblique or slanting direction or position; "the picture was skew""
