ama
amadavat,"red Asian weaverbirds often kept as cage birds"
amadavats,"red Asian weaverbirds often kept as cage birds"
amadou
amadous
amah,"a woman hired to suckle a child of someone else","a female domestic"
amahs,"a woman hired to suckle a child of someone else","a female domestic"
amain,"at full speed; with great haste; "the children ran down the hill amain"","with all your strength; "he pulled the ropes amain""
amalgam,"an alloy of mercury with another metal (usually silver) used by dentists to fill cavities in teeth; except for iron and platinum all metals dissolve in mercury and chemists refer to the resulting mercury mixtures as amalgams","a combination or blend of diverse things; "his theory is an amalgam of earlier ideas""
amalgamate,"to bring or combine together or with something else; "resourcefully he mingled music and dance"","joined together into a whole; "United Industries"; "the amalgamated colleges constituted a university"; "a consolidated school""
amalgamated,"joined together into a whole; "United Industries"; "the amalgamated colleges constituted a university"; "a consolidated school""
amalgamates,"to bring or combine together or with something else; "resourcefully he mingled music and dance"","joined together into a whole; "United Industries"; "the amalgamated colleges constituted a university"; "a consolidated school""
amalgamating
amalgamation,"the combination of two or more commercial companies"
amalgamations,"the combination of two or more commercial companies"
amalgams,"an alloy of mercury with another metal (usually silver) used by dentists to fill cavities in teeth; except for iron and platinum all metals dissolve in mercury and chemists refer to the resulting mercury mixtures as amalgams","a combination or blend of diverse things; "his theory is an amalgam of earlier ideas""
amandine
amanita,"genus of widely distributed agarics that have white spores and are poisonous with few exceptions"
amanitas,"genus of widely distributed agarics that have white spores and are poisonous with few exceptions"
amanuensis,"someone skilled in the transcription of speech (especially dictation)"
amaranth,"seed of amaranth plants used as a native cereal in Central and South America","any of various plants of the genus Amaranthus having dense plumes of green or red flowers; often cultivated for food"
amaranths,"seed of amaranth plants used as a native cereal in Central and South America","any of various plants of the genus Amaranthus having dense plumes of green or red flowers; often cultivated for food"
amarelle,"any of several cultivated sour cherry trees bearing pale red fruit with colorless juice","pale red sour cherry with colorless or nearly colorless juice"
amarelles,"any of several cultivated sour cherry trees bearing pale red fruit with colorless juice","pale red sour cherry with colorless or nearly colorless juice"
amarna
amaryllis,"bulbous plant having showy white to reddish flowers"
amaryllises
amas
amass,"collect or gather; "Journals are accumulating in my office"; "The work keeps piling up"","get or gather together; "I am accumulating evidence for the man's unfaithfulness to his wife"; "She is amassing a lot of data for her thesis"; "She rolled up a small fortune""
amassed
amasser
amassers
amasses
amassing
amateur,"someone who pursues a study or sport as a pastime","an athlete who does not play for pay","engaged in as a pastime; "an amateur painter"; "gained valuable experience in amateur theatricals"; "recreational golfers"; "reading matter that is both recreational and mentally stimulating"; "unpaid extras in the documentary"","lacking professional skill or expertise; "a very amateurish job"; "inexpert but conscientious efforts"; "an unskilled painting""
amateurish,"lacking professional skill or expertise; "a very amateurish job"; "inexpert but conscientious efforts"; "an unskilled painting""
