phaeton,"large open car seating four with folding top"
phaetons,"large open car seating four with folding top"
phage,"a virus that is parasitic (reproduces itself) in bacteria; "phage uses the bacterium's machinery and energy to produce more phage until the bacterium is destroyed and phage is released to invade surrounding bacteria""
phages,"a virus that is parasitic (reproduces itself) in bacteria; "phage uses the bacterium's machinery and energy to produce more phage until the bacterium is destroyed and phage is released to invade surrounding bacteria""
phalange
phalanges
phalanx,"any of the bones of the fingers or toes","any closely ranked crowd of people","a body of troops in close array"
phalanxes
phalli,"genus of fungi having the cap or pileus hanging free around the stem","the male organ of copulation (`member' is a euphemism)"
phallic,"relating to a phallus especially as an embodiment of generative power; "a phallic cult"; "phallic worship"","resembling or being a phallus; "a phallic symbol"; "phallic eroticism"; "priapic figurines""
phallics,"relating to a phallus especially as an embodiment of generative power; "a phallic cult"; "phallic worship"","resembling or being a phallus; "a phallic symbol"; "phallic eroticism"; "priapic figurines""
phallism
phallisms
phallist
phallists
phallus,"genus of fungi having the cap or pileus hanging free around the stem","the male organ of copulation (`member' is a euphemism)"
phalluses
phantasied
phantasies
phantasm,"a ghostly appearing figure; "we were unprepared for the apparition that confronted us"","something existing in perception only; "a ghostly apparition at midnight""
phantasms,"a ghostly appearing figure; "we were unprepared for the apparition that confronted us"","something existing in perception only; "a ghostly apparition at midnight""
phantast
phantasts
phantasy,"something many people believe that is false; "they have the illusion that I am very wealthy"","fiction with a large amount of imagination in it; "she made a lot of money writing romantic fantasies"","imagination unrestricted by reality; "a schoolgirl fantasy""
phantasying
phantom,"a ghostly appearing figure; "we were unprepared for the apparition that confronted us"","something existing in perception only; "a ghostly apparition at midnight"","something apparently sensed but having no physical reality; "seemed to hear faint phantom bells"; "the amputee's illusion of a phantom limb""
phantoms,"a ghostly appearing figure; "we were unprepared for the apparition that confronted us"","something existing in perception only; "a ghostly apparition at midnight"","something apparently sensed but having no physical reality; "seemed to hear faint phantom bells"; "the amputee's illusion of a phantom limb""
pharaoh,"the title of the ancient Egyptian kings"
pharaohs,"the title of the ancient Egyptian kings"
pharisaic,"excessively or hypocritically pious; "a sickening sanctimonious smile""
pharisee,"a self-righteous or sanctimonious person","a member of an ancient Jewish sect noted for strict obedience to Jewish traditions"
pharisees,"a self-righteous or sanctimonious person","a member of an ancient Jewish sect noted for strict obedience to Jewish traditions"
pharmaceutical,"drug or medicine that is prepared or dispensed in pharmacies and used in medical treatment","of or relating to pharmacy or pharmacists; "the pharmaceutical industry"","of or relating to drugs used in medical treatment"
pharmaceuticals,"drug or medicine that is prepared or dispensed in pharmacies and used in medical treatment","of or relating to pharmacy or pharmacists; "the pharmaceutical industry"","of or relating to drugs used in medical treatment"
pharmacies
pharmacist,"a health professional trained in the art of preparing and dispensing drugs"
pharmacologic,"of or relating to pharmacology"
pharmacological,"of or relating to pharmacology"
pharmacologist,"someone trained in the science of drugs (their composition and uses and effects)"
pharmacologists,"someone trained in the science of drugs (their composition and uses and effects)"
pharmacology,"the science or study of drugs: their preparation and properties and uses and effects"
pharmacy,"the art and science of preparing and dispensing drugs and medicines,","a retail shop where medicine and other articles are sold"
pharos,"a tower with a light that gives warning of shoals to passing ships"
pharoses
pharyngeal,"a consonant articulated in the back of the mouth or throat","of or relating to the throat; "pharyngeal fricatives""
pharynges,"the passage to the stomach and lungs; in the front part of the neck below the chin and above the collarbone"
pharynx,"the passage to the stomach and lungs; in the front part of the neck below the chin and above the collarbone"
pharynxes
phase,"any distinct time period in a sequence of events; "we are in a transitional stage in which many former ideas must be revised or rejected"","(physical chemistry) a distinct state of matter in a system; matter that is identical in chemical composition and physical state and separated from other material by the phase boundary; "the reaction occurs in the liquid phase of the system"","a particular point in the time of a cycle; measured from some arbitrary zero and expressed as an angle","(astronomy) the particular appearance of a body's state of illumination (especially one of the recurring shapes of the part of Earth's moon that is illuminated by the sun); "the full phase of the moon"","arrange in phases or stages; "phase a withdrawal"","adjust so as to be in a synchronized condition; "he phased the intake with the output of the machine""
phaseal
phased
phaseout
phaseouts
