gybe,"shift from one side of the ship to the other; "The sail jibbed wildly""
gybed
gyber
gybes,"shift from one side of the ship to the other; "The sail jibbed wildly""
gybing
gym,"athletic facility equipped for sports or physical training"
gymkhana,"a meet at which riders and horses display a range of skills and aptitudes"
gymkhanas,"a meet at which riders and horses display a range of skills and aptitudes"
gymnasia,"a school for students intermediate between elementary school and college; usually grades 9 to 12","athletic facility equipped for sports or physical training"
gymnasium,"a school for students intermediate between elementary school and college; usually grades 9 to 12","athletic facility equipped for sports or physical training"
gymnasiums,"a school for students intermediate between elementary school and college; usually grades 9 to 12","athletic facility equipped for sports or physical training"
gymnast,"an athlete who is skilled in gymnastics"
gymnastic,"vigorously active; "an acrobatic dance"; "an athletic child"; "athletic playing"; "gymnastic exercises"","of or relating to or used in exercises intended to develop strength and agility; "gymnastic horse""
gymnastics,"a sport that involves exercises intended to display strength and balance and agility","vigorously active; "an acrobatic dance"; "an athletic child"; "athletic playing"; "gymnastic exercises"","of or relating to or used in exercises intended to develop strength and agility; "gymnastic horse""
gymnasts,"an athlete who is skilled in gymnastics"
gyms,"athletic facility equipped for sports or physical training"
gynaecea
gynaecia
gynandries
gynandry
gynarchies
gynarchy,"a political system governed by a woman"
gynecia
gynecic
gynecium
gynecoid
gynecologic,"of or relating to or practicing gynecology; "gynecological examination""
gynecological,"of or relating to or practicing gynecology; "gynecological examination""
gynecologies
gynecologist,"a specialist in gynecology"
gynecologists,"a specialist in gynecology"
gynecology,"the branch of medicine that deals with the diseases and hygiene of women"
gynecomastia,"excessive development of the breasts in males; usually the result of hormonal imbalance or treatment with certain drugs (including some antihypertensives)"
gynecomasty
gyniatries
gyniatry
gynoecia,"a female gametoecium"
gyp,"a swindle in which you cheat at gambling or persuade a person to buy worthless property","deprive of by deceit; "He swindled me out of my inheritance"; "She defrauded the customers who trusted her"; "the cashier gypped me when he gave me too little change""
gypped,"deprive of by deceit; "He swindled me out of my inheritance"; "She defrauded the customers who trusted her"; "the cashier gypped me when he gave me too little change""
gypper
gyppers
gypping,"deprive of by deceit; "He swindled me out of my inheritance"; "She defrauded the customers who trusted her"; "the cashier gypped me when he gave me too little change""
gyps,"a genus of Accipitridae","deprive of by deceit; "He swindled me out of my inheritance"; "She defrauded the customers who trusted her"; "the cashier gypped me when he gave me too little change""
gypseian
gypseous
gypsied
gypsies
gypsum,"a common white or colorless mineral (hydrated calcium sulphate) used to make cements and plasters (especially plaster of Paris)"
gypsums,"a common white or colorless mineral (hydrated calcium sulphate) used to make cements and plasters (especially plaster of Paris)"
gypsy,"a laborer who moves from place to place as demanded by employment; "itinerant traders"","a member of a people with dark skin and hair who speak Romany and who traditionally live by seasonal work and fortunetelling; they are believed to have originated in northern India but now are living on all continents (but mostly in Europe, North Africa, and North America)","the Indic language of the Gypsies"
gypsydom
gypsydoms
gypsying
gypsyish
gypsyism
gypsyisms
gyral,"relating to or associated with or comprising a convolution of the brain; "the gyral sulcus""
gyrally
gyrate,"to wind or move in a spiral course; "the muscles and nerves of his fine drawn body were coiling for action"; "black smoke coiling up into the sky"; "the young people gyrated on the dance floor"","revolve quickly and repeatedly around one's own axis; "The dervishes whirl around and around without getting dizzy""
gyrated
gyrates,"to wind or move in a spiral course; "the muscles and nerves of his fine drawn body were coiling for action"; "black smoke coiling up into the sky"; "the young people gyrated on the dance floor"","revolve quickly and repeatedly around one's own axis; "The dervishes whirl around and around without getting dizzy""
gyrating
gyration,"a single complete turn (axial or orbital); "the plane made three rotations before it crashed"; "the revolution of the earth about the sun takes one year"","the act of rotating in a circle or spiral"
gyrations,"a single complete turn (axial or orbital); "the plane made three rotations before it crashed"; "the revolution of the earth about the sun takes one year"","the act of rotating in a circle or spiral"
gyrator
gyrators
gyratory
gyre,"a round shape formed by a series of concentric circles (as formed by leaves or flower petals)"
gyred
gyrene
gyrenes
gyres,"a round shape formed by a series of concentric circles (as formed by leaves or flower petals)"
gyri,"a convex fold or elevation in the surface of the brain"
gyring
gyro,"a Greek sandwich: sliced roast lamb with onion and tomato stuffed into pita bread","rotating mechanism in the form of a universally mounted spinning wheel that offers resistance to turns in any direction"
gyrocompass,"a compass that does not depend on magnetism but uses a gyroscope instead"
gyrocompasses
gyroidal
gyron
gyrons
gyros,"a Greek sandwich: sliced roast lamb with onion and tomato stuffed into pita bread","rotating mechanism in the form of a universally mounted spinning wheel that offers resistance to turns in any direction"
gyroscope,"rotating mechanism in the form of a universally mounted spinning wheel that offers resistance to turns in any direction"
gyroscopes,"rotating mechanism in the form of a universally mounted spinning wheel that offers resistance to turns in any direction"
gyrose
gyrostat
gyrostats
gyrus,"a convex fold or elevation in the surface of the brain"
gyve
gyved
gyves
gyving
