reabsorb,"undergo resorption"
reabsorbed
reabsorbing
reabsorbs,"undergo resorption"
reabstract
reabstracted
reabstracting
reabstracts
reaccede
reacceded
reaccedes
reacceding
reaccelerate
reaccelerated
reaccelerates
reaccelerating
reaccent
reaccented
reaccenting
reaccents
reaccept
reaccepted
reaccepting
reaccepts
reacclimatize
reacclimatized
reacclimatizes
reacclimatizing
reaccredit
reaccredited
reaccrediting
reaccredits
reaccumulate
reaccumulated
reaccumulates
reaccumulating
reaccuse
reaccused
reaccuses
reaccusing
reach,"the limits within which something can be effective; "range of motion"; "he was beyond the reach of their fire"","an area in which something acts or operates or has power or control: "the range of a supersonic jet"; "a piano has a greater range than the human voice"; "the ambit of municipal legislation"; "within the compass of this article"; "within the scope of an investigation"; "outside the reach of the law"; "in the political orbit of a world power"","the act of physically reaching or thrusting out","the limit of capability; "within the compass of education"","reach a destination, either real or abstract; "We hit Detroit by noon"; "The water reached the doorstep"; "We barely made it to the finish line"; "I have to hit the MAC machine before the weekend starts"","reach a point in time, or a certain state or level; "The thermometer hit 100 degrees"; "This car can reach a speed of 140 miles per hour"","move forward or upward in order to touch; also in a metaphorical sense; "Government reaches out to the people"","be in or establish communication with; "Our advertisements reach millions"; "He never contacted his children after he emigrated to Australia"","to gain with effort; "she achieved her goal despite setbacks"","to extend as far as; "The sunlight reached the wall"; "Can he reach?" "The chair must not touch the wall"","reach a goal, e.g., "make the first team"; "We made it!"; "She may not make the grade"","place into the hands or custody of; "hand me the spoon, please"; "Turn the files over to me, please"; "He turned over the prisoner to his lawyers"","to exert much effort or energy; "straining our ears to hear""
reachable,"easily approached; "a site approachable from a branch of the Niger""
reached
reacher
reachers
reaches
reachieve
reachieved
reachieves
reachieving
reaching,"the act of physically reaching or thrusting out","accomplishment of an objective"
reacquaint,"familiarize anew; "We reacquainted ourselves with this technique""
reacquainted
reacquainting
reacquaints,"familiarize anew; "We reacquainted ourselves with this technique""
reacquire
reacquired
reacquires
reacquiring
react,"show a response or a reaction to something","act against or in opposition to; "She reacts negatively to everything I say"","undergo a chemical reaction; react with another substance under certain conditions; "The hydrogen and the oxygen react""
reactant,"a chemical substance that is present at the start of a chemical reaction"
reactants,"a chemical substance that is present at the start of a chemical reaction"
reacted
reacting
reaction,"(chemistry) a process in which one or more substances are changed into others; "there was a chemical reaction of the lime with the ground water"","an idea evoked by some experience; "his reaction to the news was to start planning what to do"","a bodily process occurring due to the effect of some antecedent stimulus or agent; "a bad reaction to the medicine"; "his responses have slowed with age"","(mechanics) the equal and opposite force that is produced when any force is applied to a body; "every action has an equal and opposite reaction"","a response that reveals a person's feelings or attitude; "he was pleased by the audience's reaction to his performance"; "John feared his mother's reaction when she saw the broken lamp"","extreme conservatism in political or social matters; "the forces of reaction carried the election"","doing something in opposition to another way of doing it that you don't like; "his style of painting was a reaction against cubism""
reactionaries
reactionary,"an extreme conservative; an opponent of progress or liberalism","extremely conservative"
reactions,"(chemistry) a process in which one or more substances are changed into others; "there was a chemical reaction of the lime with the ground water"","an idea evoked by some experience; "his reaction to the news was to start planning what to do"","a bodily process occurring due to the effect of some antecedent stimulus or agent; "a bad reaction to the medicine"; "his responses have slowed with age"","(mechanics) the equal and opposite force that is produced when any force is applied to a body; "every action has an equal and opposite reaction"","a response that reveals a person's feelings or attitude; "he was pleased by the audience's reaction to his performance"; "John feared his mother's reaction when she saw the broken lamp"","extreme conservatism in political or social matters; "the forces of reaction carried the election"","doing something in opposition to another way of doing it that you don't like; "his style of painting was a reaction against cubism""
reactivate,"activate (an old file) anew"
reactivated
reactivates,"activate (an old file) anew"
reactivating
reactivation
reactivations
reactive,"participating readily in reactions; "sodium is a reactive metal"; "free radicals are very reactive"","reacting to a stimulus; "the skin of old persons is less reactive than that of younger persons""
reactor,"an electrical device used to introduce reactance into a circuit","(physics) any of several kinds of apparatus that maintain and control a nuclear reaction for the production of energy or artificial elements"
reactors,"an electrical device used to introduce reactance into a circuit","(physics) any of several kinds of apparatus that maintain and control a nuclear reaction for the production of energy or artificial elements"
reacts,"show a response or a reaction to something","act against or in opposition to; "She reacts negatively to everything I say"","undergo a chemical reaction; react with another substance under certain conditions; "The hydrogen and the oxygen react""
read,"something that is read; "the article was a very good read"","interpret something that is written or printed; "read the advertisement"; "Have you read Salman Rushdie?"","have or contain a certain wording or form; "The passage reads as follows"; "What does the law say?"","look at, interpret, and say out loud something that is written or printed; "The King will read the proclamation at noon"","obtain data from magnetic tapes; "This dictionary can be read by the computer"","interpret the significance of, as of palms, tea leaves, intestines, the sky; also of human behavior; "She read the sky and predicted rain"; "I can't read his strange behavior"; "The fortune teller read his fate in the crystal ball"","interpret something in a certain way; convey a particular meaning or impression; "I read this address as a satire"; "How should I take this message?"; "You can't take credit for this!"","be a student of a certain subject; "She is reading for the bar exam"","indicate a certain reading; of gauges and instruments; "The thermometer showed thirteen degrees below zero"; "The gauge read `empty'"","audition for a stage role by reading parts of a role; "He is auditioning for `Julius Caesar' at Stratford this year"","to hear and understand; "I read you loud and clear!"","make sense of a language; "She understands French"; "Can you read Greek?""
readabilities
readability,"the quality of written language that makes it easy to read and understand","a quality of writing (print or handwriting) that can be easily read"
readable,"easily deciphered"
readably,"in a legible manner; "you must write legibly""
readapt,"adapt anew; "He readapted himself"","adjust anew; "After moving back to America, he had to readjust""
readapted
readapting
readapts,"adapt anew; "He readapted himself"","adjust anew; "After moving back to America, he had to readjust""
readd
readded
readdict
readdicted
readdicting
readdicts
readding
readdress
readdressed
readdresses
readdressing
readds
