awa
await,"look forward to the probable occurrence of; "We were expecting a visit from our relatives"; "She is looking to a promotion"; "he is waiting to be drafted""
awaited,"expected hopefully"
awaiter
awaiters
awaiting
awaits,"look forward to the probable occurrence of; "We were expecting a visit from our relatives"; "She is looking to a promotion"; "he is waiting to be drafted""
awake,"stop sleeping; "She woke up to the sound of the alarm clock"","not in a state of sleep; completely conscious; "lay awake thinking about his new job"; "still not fully awake"","mentally perceptive and responsive;"an alert mind"; "alert to the problems"; "alive to what is going on"; "awake to the dangers of her situation"; "was now awake to the reality of his predicament""
awaked
awaken,"cause to become awake or conscious; "He was roused by the drunken men in the street"; "Please wake me at 6 AM."","stop sleeping; "She woke up to the sound of the alarm clock"","make aware; "They were awakened to the sad facts""
awakened,"aroused or activated; "an awakened interest in ballet"","(somewhat formal) having been waked up; "the awakened baby began to cry""
awakener
awakeners
awakening,"the act of waking; "it was an early awakening"; "it was the waking up he hated most""
awakens,"cause to become awake or conscious; "He was roused by the drunken men in the street"; "Please wake me at 6 AM."","stop sleeping; "She woke up to the sound of the alarm clock"","make aware; "They were awakened to the sad facts""
awakes,"stop sleeping; "She woke up to the sound of the alarm clock"","not in a state of sleep; completely conscious; "lay awake thinking about his new job"; "still not fully awake"","mentally perceptive and responsive;"an alert mind"; "alert to the problems"; "alive to what is going on"; "awake to the dangers of her situation"; "was now awake to the reality of his predicament""
awaking
award,"a grant made by a law court; "he criticized the awarding of compensation by the court"","a tangible symbol signifying approval or distinction; "an award for bravery"","something given for victory or superiority in a contest or competition or for winning a lottery; "the prize was a free trip to Europe"","give, especially as an honor or reward; "bestow honors and prizes at graduation"","give as judged due or on the basis of merit; "the referee awarded a free kick to the team"; "the jury awarded a million dollars to the plaintiff";"Funds are granted to qualified researchers""
awarded
awardee
awardees
awarder
awarders
awarding,"a grant made by a law court; "he criticized the awarding of compensation by the court""
awards,"a grant made by a law court; "he criticized the awarding of compensation by the court"","a tangible symbol signifying approval or distinction; "an award for bravery"","something given for victory or superiority in a contest or competition or for winning a lottery; "the prize was a free trip to Europe"","give, especially as an honor or reward; "bestow honors and prizes at graduation"","give as judged due or on the basis of merit; "the referee awarded a free kick to the team"; "the jury awarded a million dollars to the plaintiff";"Funds are granted to qualified researchers""
aware,"(sometimes followed by `of') having or showing knowledge or understanding or realization or perception; "was aware of his opponent's hostility"; "became aware of her surroundings"; "aware that he had exceeded the speed limit"","bearing in mind; attentive to; "ever mindful of her health"; "mindful of his responsibilities"; "mindful of these criticisms, I shall attempt to justify my action""
awash,"covered with water; "the main deck was afloat (or awash)"; "the monsoon left the whole place awash"; "a flooded bathroom"; "inundated farmlands"; "an overflowing tub""
away,"not present; having left; "he's away right now"; "you must not allow a stranger into the house when your mother is away"","used of an opponent's ground; "an away game"","(of a baseball pitch) on the far side of home plate from the batter; "the pitch was away (or wide)"; "an outside pitch"","from a particular thing or place or position (`forth' is obsolete); "ran away from the lion"; "wanted to get away from there"; "sent the children away to boarding school"; "the teacher waved the children away from the dead animal"; "went off to school"; "they drove off"; "go forth and preach"","from one's possession; "he gave out money to the poor"; "gave away the tickets"","out of the way (especially away from one's thoughts); "brush the objections aside"; "pushed all doubts away"","out of existence; "the music faded away"; "tried to explain away the affair of the letter"- H.E.Scudder; "idled the hours away"; "her fingernails were worn away"","at a distance in space or time; "the boat was 5 miles off (or away)"; "the party is still 2 weeks off (or away)"; "away back in the 18th century"","indicating continuing action; continuously or steadily; "he worked away at the project for more than a year"; "the child kept hammering away as if his life depended on it"","so as to be removed or gotten rid of; "cleared the mess away"; "the rotted wood had to be cut away"","freely or at will; "fire away!"","in or into a proper place (especially for storage or safekeeping); "put the toys away"; "her jewels are locked away in a safe"; "filed the letter away"","in a different direction; "turn aside"; "turn away one's face"; "glanced away"","in reserve; not for immediate use; "started setting aside money to buy a car"; "put something by for her old age"; "has a nest egg tucked away for a rainy day""
awayness,"the state of being elsewhere than in particular place"
awaynesses
awe,"an overwhelming feeling of wonder or admiration; "he stared over the edge with a feeling of awe"","a feeling of profound respect for someone or something; "the fear of God"; "the Chinese reverence for the dead"; "the French treat food with gentle reverence"; "his respect for the law bordered on veneration"","inspire awe in; "The famous professor awed the undergraduates""
aweary,"physically and mentally fatigued; "`aweary' is archaic""
aweather
awed,"inspired by a feeling of fearful wonderment or reverence; "awed by the silence"; "awful worshippers with bowed heads"","having or showing a feeling of mixed reverence and respect and wonder and dread; "stood in awed silence before the shrine"; "in grim despair and awestruck wonder""
awee
aweigh,"(used of an anchor) hanging clear of the bottom; "anchors aweigh"","(of an anchor) just clear of the bottom"
aweing
aweless,"devoid of any feeling of awe or reverence","neither feeling nor showing respect"
awes,"an overwhelming feeling of wonder or admiration; "he stared over the edge with a feeling of awe"","a feeling of profound respect for someone or something; "the fear of God"; "the Chinese reverence for the dead"; "the French treat food with gentle reverence"; "his respect for the law bordered on veneration"","inspire awe in; "The famous professor awed the undergraduates""
awesome,"inspiring awe or admiration or wonder; "New York is an amazing city"; "the Grand Canyon is an awe-inspiring sight"; "the awesome complexity of the universe"; "this sea, whose gently awful stirrings seem to speak of some hidden soul beneath"- Melville; "Westminster Hall's awing majesty, so vast, so high, so silent""
awesomely
awful,"exceptionally bad or displeasing; "atrocious taste"; "abominable workmanship"; "an awful voice"; "dreadful manners"; "a painful performance"; "terrible handwriting"; "an unspeakable odor came sweeping into the room"","causing fear or dread or terror; "the awful war"; "an awful risk"; "dire news"; "a career or vengeance so direful that London was shocked"; "the dread presence of the headmaster"; "polio is no longer the dreaded disease it once was"; "a dreadful storm"; "a fearful howling"; "horrendous explosions shook the city"; "a terrible curse"","offensive or even (of persons) malicious; "in a nasty mood"; "a nasty accident"; "a nasty shock"; "a nasty smell"; "a nasty trick to pull"; "Will he say nasty things at my funeral?"- Ezra Pound","inspired by a feeling of fearful wonderment or reverence; "awed by the silence"; "awful worshippers with bowed heads"","extreme in degree or extent or amount or impact; "in a frightful hurry"; "spent a frightful amount of money"","inspiring awe or admiration or wonder; "New York is an amazing city"; "the Grand Canyon is an awe-inspiring sight"; "the awesome complexity of the universe"; "this sea, whose gently awful stirrings seem to speak of some hidden soul beneath"- Melville; "Westminster Hall's awing majesty, so vast, so high, so silent"","used as intensifiers; "terribly interesting"; "I'm awful sorry""
awfuller
awfullest
awfully,"used as intensifiers; "terribly interesting"; "I'm awful sorry"","of a dreadful kind; "there was a dreadfully bloody accident on the road this morning"","in a terrible manner; "she sings terribly""
awhile,"for a short time; "sit down and stay awhile"; "they settled awhile in Virginia before moving West"; "the baby was quiet for a while""
awhirl
awing,"inspiring awe or admiration or wonder; "New York is an amazing city"; "the Grand Canyon is an awe-inspiring sight"; "the awesome complexity of the universe"; "this sea, whose gently awful stirrings seem to speak of some hidden soul beneath"- Melville; "Westminster Hall's awing majesty, so vast, so high, so silent""
awkward,"causing inconvenience; "they arrived at an awkward time"","lacking grace or skill in manner or movement or performance; "an awkward dancer"; "an awkward gesture"; "too awkward with a needle to make her own clothes"; "his clumsy fingers produced an awkward knot"","difficult to handle or manage especially because of shape; "an awkward bundle to carry"; "a load of bunglesome paraphernalia"; "clumsy wooden shoes"; "the cello, a rather ungainly instrument for a girl"","not elegant or graceful in expression; "an awkward prose style"; "a clumsy apology"; "his cumbersome writing style"; "if the rumor is true, can anything be more inept than to repeat it now?"","hard to deal with; especially causing pain or embarrassment; "awkward (or embarrassing or difficult) moments in the discussion"; "an awkward pause followed his remark"; "a sticky question"; "in the unenviable position of resorting to an act he had planned to save for the climax of the campaign"","socially uncomfortable; unsure and constrained in manner; "awkward and reserved at parties"; "ill at ease among eddies of people he didn't know"; "was always uneasy with strangers""
awkwarder
awkwardest
awkwardly,"in an awkward manner; "he bent awkwardly""
awkwardness,"unskillfulness resulting from a lack of training","the quality of an embarrassing situation; "he sensed the awkwardness of his proposal"","the carriage of someone whose movements and posture are ungainly or inelegant","the inelegance of someone stiff and unrelaxed (as by embarrassment)","trouble in carrying or managing caused by bulk or shape; "the movers cursed the unwieldiness of the big piano""
awkwardnesses
awl,"a pointed tool for marking surfaces or for punching small holes"
awless,"devoid of any feeling of awe or reverence","neither feeling nor showing respect"
awls,"a pointed tool for marking surfaces or for punching small holes"
awlwort,"small aquatic plant having tufted awl-shaped leaves in a basal rosette and minute white flowers; circumboreal"
awlworts,"small aquatic plant having tufted awl-shaped leaves in a basal rosette and minute white flowers; circumboreal"
awmous
awn,"slender bristlelike appendage found on the bracts of grasses"
awned,"having awns i.e. bristlelike or hairlike appendages on the flowering parts of some cereals and grasses; "awned wheatgrass""
awning,"a canopy made of canvas to shelter people or things from rain or sun"
awninged,"covered with an awning; "with awninged windows on the west side""
awnings,"a canopy made of canvas to shelter people or things from rain or sun"
